;Time;Close;RSI;MACD;Volatility;EMA20;EMA50;EMA100
7984;20171016 093400;13014.0;61.60515390006271;0.6893446663816576;0.7581052096102917;13012.757097646994;13011.198921512996;13009.804746405043
7985;20171016 093500;13012.0;50.7470095318744;0.544549178743182;0.7603726739377249;13012.673834835769;13011.2594826106;13009.873784515692
7986;20171016 093600;13013.75;57.762104747143454;0.5794103764292231;0.7393010100488078;13012.806082151954;13011.389364241024;13009.980757680825
7987;20171016 093700;13012.5;52.058501872845895;0.48345081316438154;0.7390685097815696;13012.780650895287;13011.462064839494;13010.059310530067
7988;20171016 093800;13011.5;47.97705172640943;0.30143666329968255;0.7510391107006495;13012.666122992297;13011.48502868073;13010.11030765656
7989;20171016 093900;13006.5;33.73533034637009;-0.2478162714814971;0.5425361449977041;13012.015642967473;13011.280333279396;13010.041140756044
7990;20171016 094000;13007.25;36.76744488288562;-0.5954380888124433;0.4662857495451321;13011.494822568158;13011.108474873148;13009.991294102581
7991;20171016 094100;13008.25;40.665889942150876;-0.7716911877960229;0.43534605147934136;13011.133719904763;13010.99944584614;13009.964560831982
7992;20171016 094200;13008.5;41.63468126529276;-0.981575079191316;0.4150685303655684;13010.834536919498;13010.902962375396;13009.944082208194
7993;20171016 094300;13010.5;48.832409491472994;-0.9670798842234944;0.4131240218680336;13010.791517987083;13010.897898023242;13009.968261742555
7994;20171016 094400;13010.5;48.832409491472994;-0.9210880859227473;0.4116705332431319;13010.756315520315;13010.880760165775;13009.993512034394
7995;20171016 094500;13010.75;49.73111868240487;-0.8509395306045917;0.41062458724662376;13010.744555768772;13010.88176836981;13010.027086715874
7996;20171016 094600;13009.0;43.91634130967871;-0.9449315851979918;0.40099846291911734;13010.533774506644;13010.81104155862;13010.017595286095
7997;20171016 094700;13009.0;43.9163413096787;-0.9691118519949669;0.3934537534991684;13010.343067650436;13010.74769038813;13010.007517025346
7998;20171016 094800;13009.5;46.00820764324643;-0.9798209447817499;0.3891961319678587;13010.240458946417;13010.712567474084;13010.012188004657
7999;20171016 094900;13007.5;39.63925839400858;-1.1157493460432306;0.3713738267442067;13009.92367148919;13010.597322529815;13009.969414728199
8000;20171016 095000;13007.5;39.63925839400857;-1.1795142510218284;0.3821904960161241;13009.581262898897;13010.491199035403;13009.92981278752
8001;20171016 095100;13008.5;44.12457098523428;-1.0085979086088628;0.40702836407029763;13009.385299868136;13010.42078286582;13009.914670924281
8002;20171016 095200;13007.25;40.112130747378664;-0.9896498933467228;0.4210464930248758;13009.08151351517;13010.282632318927;13009.869652964142
8003;20171016 095300;13007.75;42.36961273509848;-0.9336834332461876;0.4468022564511565;13008.865436516855;13010.174109323938;13009.836202218923
8004;20171016 095400;13006.25;37.7698386716159;-0.9598822848020063;0.4754975825252103;13008.501045166118;13010.001814522748;13009.765188313595
8005;20171016 095500;13007.75;44.28384030928659;-0.8790302527377207;0.4951376478541908;13008.366286839027;13009.911974057459;13009.729932274964
8006;20171016 095600;13007.0;41.9210057322825;-0.8704213415239792;0.5790831267297626;13008.135739822168;13009.788574915858;13009.677423770258
8007;20171016 095700;13008.75;48.787366516796865;-0.7060990509089606;0.6787824986763028;13008.138449424392;13009.743244447525;13009.662932843486
8008;20171016 095800;13008.75;48.78736651679686;-0.5186635023037525;0.7731610416102764;13008.155778667158;13009.696623617778;13009.645629745477
8009;20171016 095900;13009.0;49.77122235718565;-0.3604339650737529;0.8160046211760978;13008.27337494358;13009.670839057952;13009.632844998037
8010;20171016 100000;13010.75;56.125283706730514;-0.0678818973228772;0.7743801787295387;13008.561315939192;13009.716227121731;13009.658065999562
8011;20171016 100100;13011.75;59.294138775276075;0.28642292654694756;0.6840118848097488;13008.917072078078;13009.802118974563;13009.704913895732
8012;20171016 100200;13010.5;54.040038009550805;0.44917669993810705;0.6634974025027841;13009.097582514045;13009.82795284449;13009.726081635526
8013;20171016 100300;13010.5;54.040038009550805;0.49154405769877485;0.6634974025027841;13009.231146084137;13009.85123960806;13009.748379772322
8014;20171016 100400;13009.0;48.107384424218296;0.42599114846052544;0.6846443995952608;13009.186815624524;13009.807119568715;13009.742082951709
8015;20171016 100500;13010.5;53.59386026405525;0.49817167636865634;0.6923467740251238;13009.308161378667;13009.820485229551;13009.771812031482
8016;20171016 100600;13010.25;52.59576471987811;0.5668996787262586;0.6761488233893334;13009.416457417346;13009.82812486552;13009.791353241122
8017;20171016 100700;13010.5;53.527805556742976;0.6281285680161091;0.6568722000654252;13009.541968495867;13009.843734816064;13009.815457991164
8018;20171016 100800;13009.75;50.33070187204263;0.6273250832673511;0.6544384303040964;13009.565500444542;13009.832388873825;13009.819585253834
8019;20171016 100900;13007.5;42.18951454264118;0.39499616057946696;0.6544384303040964;13009.368786116489;13009.720980469023;13009.779851113166
8020;20171016 101000;13007.5;42.18951454264118;0.1912496749428101;0.6544384303040964;13009.19080648635;13009.607804967589;13009.734705546567
8021;20171016 101100;13008.5;46.638581820674105;0.11008209164174332;0.6544384303040964;13009.12501539241;13009.544419461066;13009.711805491936
8022;20171016 101200;13009.5;50.72266216839562;0.09517617505662201;0.6773723463504633;13009.194203032435;13009.528871400633;13009.712260004211
8023;20171016 101300;13008.75;47.76965202484991;-0.03292287177100661;0.6919377548046758;13009.16677567962;13009.482987289937;13009.688556670222
8024;20171016 101400;13007.75;44.084368204263704;-0.1957445900879975;0.7569612229778182;13009.054161209348;13009.3950848296;13009.647070289127
8025;20171016 101500;13005.0;35.88547946171239;-0.5478844926983584;0.6266285937233576;13008.627136948782;13009.182844212857;13009.542652614113
8026;20171016 101600;13006.5;42.200014142525916;-0.6708405020672217;0.6121710967340165;13008.417113628524;13009.043886340638;13009.47775338686
8027;20171016 101700;13004.25;36.40767660936268;-0.9832284786753007;0.5114419605610625;13007.953296023396;13008.808336381853;13009.361062256563
8028;20171016 101800;13004.5;37.43525070464528;-1.2109975510793447;0.45836350290815125;13007.561180471796;13008.599497665014;13009.246983656316
8029;20171016 101900;13003.5;34.99906929318952;-1.453575794950666;0.40662967485790835;13007.092574040847;13008.35196294841;13009.11536205807
8030;20171016 102000;13003.0;33.814167737830914;-1.6638212626003224;0.37574620784070356;13006.587502925922;13008.068449404309;13008.975671057915
8031;20171016 102100;12999.25;26.553277719749047;-2.0563229788658646;0.31789481053401475;13005.702721899816;13007.627519027008;13008.751317529213
8032;20171016 102200;13001.75;36.36373521210261;-2.1208630511100637;0.304301895513672;13005.196092338529;13007.321861427185;13008.587109835707
8033;20171016 102300;13005.5;47.65768195716251;-1.843531937480293;0.31391547611009646;13005.15064743588;13007.199793438169;13008.515132026841
8034;20171016 102400;13005.0;46.473363278697036;-1.6486790408707748;0.31697154070013095;13005.076789269471;13007.058302545709;13008.434678531023
8035;20171016 102500;13007.0;51.64923698512524;-1.2732108106611122;0.3320644219407291;13005.207880253573;13007.025335902961;13008.405494275097
8036;20171016 102600;13007.25;52.27052795550889;-0.929825242368679;0.34795073595242426;13005.357734754796;13006.994261910799;13008.37873929997
8037;20171016 102700;13007.0;51.55707609824664;-0.6012334498682321;0.3712433199796208;13005.462069026005;13006.96073863866;13008.349113191425
8038;20171016 102800;13006.5;50.08467107259197;-0.4248010697065183;0.39284906627350746;13005.512567076812;13006.911990188353;13008.307848408187
8039;20171016 102900;13007.0;51.574038818266196;-0.1621256755279319;0.3952440800778525;13005.646788506265;13006.918509580357;13008.278851299616
8040;20171016 103000;13007.25;52.339774331268714;0.0685640191713901;0.39657604902879184;13005.79575589072;13006.931509204655;13008.251504985894
8041;20171016 103100;13006.75;50.61591313186181;0.24277439720754046;0.40815879176927355;13005.860600310774;13006.915187116112;13008.218673093586
8042;20171016 103200;13008.75;56.75187197053924;0.5620247882361582;0.41787235687817975;13006.124622960137;13006.98867457596;13008.230743978622
